business_id,vector
-000aQFeK6tqVLndf7xORg,[nan nan nan nan nan nan nan nan]
-092wE7j5HZOogMLAh40zA,[nan nan nan nan nan nan nan nan]
-0jz6c3C6i7RG7Ag22K-Pg,[nan nan nan nan nan nan nan nan]
-1BPe8UjF2_l3nVk-DFUjA,"[0.17848273 0.17848273 0.17848273 0.17848273 0.17848273 0.17848273 0.17848273 0.17848273]"
-1VaIJza42Hjev6ukacCNg,[nan nan nan nan nan nan nan nan]
-1oGM0x0i7I88C9g9w8XUw,"[0.14945455 0.14945455 0.14945455 0.14945455 0.14945455 0.14945455
 0.14945455 0.14945455]"
-2ATYZeeA-9_qC-Whi0-2w,"[0.41267806 0.41267806 0.41267806 0.41267806 0.41267806 0.41267806
 0.41267806 0.41267806]"
-3ZKe67EhB3m0MJaK9YouQ,"[0.1665017  0.1665017  0.1665017  0.1665017  0.1665017  0.1665017
 0.18690986 0.1665017 ]"
-4TMQnQJW1yd6NqGRDvAeA,[nan nan nan nan nan nan nan nan]
-8bGynxpc8t4-vhOy6FxTg,"[0.22166667 0.22166667 0.22166667 0.22166667 0.22166667 0.22166667
 0.22166667 0.22166667]"
-993sa8QGTa9iUPQGCNiQA,"[-0.20635141 -0.20635141 -0.20635141 -0.20635141 -0.20635141 -0.20635141
 -0.20635141 -0.20635141]"
-BJVR_DO5r-MfQ2tiszeOg,[nan nan nan nan nan nan nan nan]
-Bv0hmh3LS4XtrOOg6yFsA,"[0.21877708 0.21877708 0.21877708 0.21877708 0.21877708 0.21877708
 0.21865362 0.21655486]"
-CLD5kiPRZJ3QyulrmFMPg,"[0.13062009 0.13062009 0.13062009 0.13062009 0.13047485 0.13062009
 0.13062009 0.13264951]"
-Dnh48f029YNugtMKkkI-Q,[nan nan nan nan nan nan nan nan]
-Du1WSRseqUXbCt_K-D-ww,"[0.21609561 0.23831783 0.21609561 0.21609561 0.21609561 0.21609561
 0.21615734 0.21979931]"
-ECS2TgyvvTjCqFNYCBfJA,"[0.02788175 0.02788175 0.02788175 0.02698175 0.02788175 0.02788175
 0.02121508 0.02788175]"
-EfU6CLbv5b2oB5-bDnZ-w,"[0.05473567 0.05473567 0.05473567 0.05473567 0.05473567 0.05473567
 0.06090851 0.05473567]"
-FRfiY1xld7oGmldZYRZhA,"[0.13227601 0.13227601 0.13227601 0.13227601 0.13227601 0.13227601
 0.13227601 0.13227601]"
-FRzFwd76Et2mr0wkpngEA,"[0.08475063 0.08475063 0.08475063 0.08475063 0.08475063 0.08475063
 0.08475063 0.08475063]"
-Ge9R96u0gmqyLFPPxDXvw,"[0.17989371 0.17989371 0.17989371 0.17989371 0.17989371 0.17989371
 0.17989371 0.17989371]"
-HO8ejDGgvj_Guw3R6lH1g,[nan nan nan nan nan nan nan nan]
-Iu6EwsbZQZY8HTBN853Iw,[nan nan nan nan nan nan nan nan]
-Ix1tCwmfW0fNjAnSWhSRw,[nan nan nan nan nan nan nan nan]
-Jir6LZcD9VS4jiBmuGK0g,[nan nan nan nan nan nan nan nan]
-JwSuDqyFILFJmVpjrVbwA,[nan nan nan nan nan nan nan nan]
-KNRAU_BkvCKU2szFd2drg,[nan nan nan nan nan nan nan nan]
-L0QScIst3HnR52rNydTKQ,"[0.54814815 0.54814815 0.54814815 0.54814815 0.54814815 0.54814815
 0.54814815 0.54814815]"
-LRlx2j9_LB3evsRRcC9MA,"[0.21049108 0.21049108 0.21049108 0.21049108 0.21049108 0.21250182
 0.21066529 0.21374311]"
-Oj_rs84KRFOTtbeQXPB7Q,"[0.16687663 0.16687663 0.16684127 0.16687663 0.16687663 0.16597819
 0.16687663 0.16776949]"
-PJgXks184iZSA9ueAHe_A,"[0.03863672 0.03863672 0.03863672 0.03863672 0.03863672 0.03863672
 0.03984373 0.03863672]"
-RBS7znoOzfB8siQPc1_Nw,[nan nan nan nan nan nan nan nan]
-U0-LFBeE08d5IOwoDpvzw,"[-0.33333333 -0.33333333 -0.33333333 -0.33333333 -0.33333333 -0.33333333
 -0.33333333 -0.33333333]"
-UECAx9uW9F_qLhQV7lZhQ,[nan nan nan nan nan nan nan nan]
-Ut87cwGFsO3444Rd11p0Q,[nan nan nan nan nan nan nan nan]
-VRDKEn-xvK5D-lgn2zgjw,"[0.0288533  0.0288533  0.0288533  0.0288533  0.0288533  0.0288533
 0.03048729 0.03137066]"
-X61Cipa9OOtY7ZnDw_f4A,"[0.19632667 0.19632667 0.19632667 0.19632667 0.19623899 0.19632667
 0.19632667 0.19632667]"
-Xt5fQKFok2wQFAh7MzZLw,"[0.29503287 0.29503287 0.29429212 0.29503287 0.29503287 0.29503287
 0.29503287 0.29503287]"
-YWEPNL3H1Nizqldxw933g,"[0.3794819  0.3794819  0.3794819  0.3794819  0.38426288 0.3794819
 0.3794819  0.3794819 ]"
-ZGb08sDklNEJJcLqvrevA,[nan nan nan nan nan nan nan nan]
-_g9GzASXWdHTcsRs_bZng,[nan nan nan nan nan nan nan nan]
-_v2it0tjfDriFqN-FGpIg,[nan nan nan nan nan nan nan nan]
-bDnz9vht4aAH60UWQvgTQ,"[0.00775034 0.00775034 0.00775034 0.00667739 0.00809756 0.00483367
 0.00775034 0.00775034]"
-bd4BQcl1ekgo7avaFngIw,[nan nan nan nan nan nan nan nan]
-cBmfv0PCnA_oMuBT2AZ2A,"[0.1707036 0.1707036 0.1707036 0.1707036 0.1707036 0.1707036 0.1707036
 0.1707036]"
-euyrrUnAQpVNmiwRO1ESQ,[nan nan nan nan nan nan nan nan]
-gRDDhLdkAfki50Dt5P9Og,[nan nan nan nan nan nan nan nan]
-heQCpfvoVEEgDynXPITRQ,"[0.17216788 0.17235216 0.17231804 0.17351876 0.17226799 0.17265561
 0.17699946 0.18282855]"
-hq1qB-TIOUl13gKMiGQMA,"[0.52738095 0.52738095 0.52738095 0.52738095 0.52738095 0.52738095
 0.52738095 0.52738095]"
-kWzbYfMA68JjV2M5os2FA,"[0.15672257 0.15672257 0.15672257 0.15672257 0.15672257 0.15359757
 0.16062882 0.15828507]"
-kt-WaGML59WqorskVG8kA,"[0.24754762 0.24754762 0.24754762 0.24754762 0.27775595 0.24754762
 0.24754762 0.2535    ]"
-lCZaXPsU0u5yNg9LiFByw,"[0.31527778 0.31527778 0.31527778 0.31527778 0.31527778 0.31527778
 0.31527778 0.31527778]"
-mpSV6pBvGZisjNYvIlLMA,"[0.19584077 0.19584077 0.19584077 0.19584077 0.19584077 0.19584077
 0.19584077 0.19584077]"
-n2Cnpa4uF2RrK_gyvH9_Q,"[0.14838745 0.14838745 0.14838745 0.14838745 0.14838745 0.14838745
 0.14838745 0.14838745]"
